nr,bpm,spec flat,spec skew,kurt,zero cross,hpss,vocal,bin1,bin2,bin3,bin4,bin5,bin6,bin1 mean freq,bin1 std,bin1 q25,bin1 q75,bin2 mean freq,bin2 std,bin2 q25,bin2 q75,bin3 mean freq,bin3 std,bin3 q25,bin3 q75,bin4 mean freq,bin4 std,bin4 q25,bin4 q75,bin5 mean freq,bin5 std,bin5 q25,bin5 q75,bin6 mean freq,bin6 std,bin6 q25,bin6 q75
30,172,41,2,0.5038442128240268,35118,1,1,392585,461,101,31,9,5,0.0,0.0,0.0,0.0,1.2364237e-06,8.533312e-06,1.1578298597658687e-09,3.6286744276026184e-08,0.00022912746,4.5183217e-05,0.0001915302564157173,0.0002597224956844002,0.00040194622,5.151963e-05,0.0003569344989955425,0.00045125698670744896,0.00058467477,5.2139425e-05,0.0005345589888747782,0.0006347823946271092,0.00073442847,4.992386e-05,0.000692010042257607,0.0007564969710074365
31,123,0,2,0.7104145591056454,57518,1,0,392002,704,157,42,21,8,0,0,0,0,1.0537067e-06,4.8753145e-06,1.0194466625035314e-10,8.801291428994773e-08,0.00010838292,2.0833113e-05,9.096864960156381e-05,0.00012343116031843238,0.00019037351,2.192684e-05,0.00017147097969427705,0.00020451340242289007,0.00026970066,2.1769154e-05,0.00025146733241854236,0.0002876576327253133,0.00035579622,2.0087084e-05,0.00033801101380959153,0.00036981471930630505
32,117,199,2,-0.6589734541266248,57763,1,0,385125,1106,250,94,28,10,0,0,0,0,1.9097395e-06,9.65604e-06,2.542635546554095e-10,2.440138473502884e-07,0.00019625583,3.940294e-05,0.00016278405382763594,0.00022587426428799517,0.00034422395,4.0562176e-05,0.00030771618912694976,0.00037863085890421644,0.00049443747,4.3789725e-05,0.00045486560702556744,0.000536163424840197,0.0006265343,3.412791e-05,0.0005990832432871684,0.0006516139546874911
33,161,122,2,1.3655666572232263,40937,1,0,392934,241,98,31,13,4,0,0,0,0,4.0713944e-06,2.7050959e-05,8.448165778052186e-10,1.2375672042708175e-07,0.0008667813,0.00017656063,0.000713600660674274,0.0010082765948027372,0.0015288789,0.00018588964,0.001342298462986946,0.0016634250641800463,0.0021139798,0.00016494986,0.0019804772455245256,0.0021877388935536146,0.0027316234,0.00015780047,0.002597568789497018,0.0028647242579609156
34,117,80,2,1.1175036718687599,34583,1,0,392903,265,89,40,18,6,0.0,0.0,0.0,0.0,2.8470106e-06,2.0315816e-05,6.732800289510621e-10,8.526533079589171e-08,0.00065968576,0.00012771392,0.0005485942820087075,0.0007402576156891882,0.001174185,0.00013711416,0.00104807922616601,0.0012820898555219173,0.0016999226,0.00013777413,0.0015564069908577949,0.001823307859012857,0.0020811858,0.00014620405,0.0019830221426673234,0.0021193817956373096
35,123,334,2,0.29691712651836566,52481,1,0,395074,665,120,29,12,1,0,0,0,0,4.02726e-06,2.4798203e-05,7.817422487121917e-09,3.4307456786564217e-07,0.0006237618,0.000121580655,0.0005184017354622483,0.0007119061192497611,0.0011000287,0.000121959565,0.0009957395668607205,0.001198575337184593,0.00150818,0.00010945145,0.0014153446536511183,0.0016084292437881231,0.0019814863,8.880418e-05,0.0018952357058878988,0.002053957956377417
36,151,49,2,1.434434269937788,28879,1,0,392872,302,102,33,9,3,0,0,0,0,2.564091e-06,1.9975058e-05,3.5122792868547137e-10,3.3493114059979234e-08,0.0006572232,0.00013218223,0.0005355278408387676,0.0007698255649302155,0.0010914695,0.000119189885,0.0009922735043801367,0.0011743498325813562,0.001569446,0.00013443874,0.001467513618990779,0.0016929152188822627,0.0020165285,0.00014461714,0.0018676737090572715,0.002120339311659336
37,92,99,2,0.45985742951321207,35411,1,0,379384,815,156,55,7,4,0,0,0,0,4.06319e-06,2.4223671e-05,4.300840239501724e-10,1.5523703567055236e-07,0.0005430463,0.00011017089,0.00044653480290435255,0.0006215678586158901,0.0009584676,0.00011091587,0.0008735087321838364,0.0010348454234190285,0.0013754396,0.000119762604,0.0012724915868602693,0.0014770380221307278,0.0017335782,0.00010609881,0.0016427859663963318,0.0017975596128962934
38,172,290,2,3.139288115095277,52464,0,0,393097,98,43,48,21,14,0.0,0.0,0.0,0.0,2.3734785e-06,2.1066839e-05,1.076919498022022e-09,1.6942220781857031e-07,0.0014410738,0.00028925345,0.0011972333013545722,0.0015756225329823792,0.0026089342,0.0003208992,0.002287646639160812,0.002935846569016576,0.0037198125,0.0002948718,0.003513272269628942,0.004004466230981052,0.004684976,0.00036852458,0.0043767597526311874,0.0050736526027321815
39,117,391,2,2.1973830056393506,87710,0,0,393124,172,19,2,3,1,0,0,0,0,9.313292e-07,5.953177e-06,2.8839815535697255e-09,1.2690051320873863e-07,0.00020801519,4.021063e-05,0.0001758783109835349,0.00023021360175334848,0.00039205473,4.153629e-05,0.00035904151445720345,0.00041393305582460016,0.000507925,1.221447e-05,0.0005018177616875619,0.0005140322318766266,0.00075212115,1.8545406e-05,0.0007415006111841649,0.000764093070756644
40,112,443,2,0.2666929430183602,65019,1,0,392825,384,92,16,3,1,0,0,0,0,7.1673194e-06,4.3044e-05,2.062788340140287e-08,9.126353575084067e-07,0.0012346117,0.000250029,0.0010185091232415289,0.0013997988135088235,0.0022126765,0.00027214692,0.0019769143546000123,0.0024368653539568186,0.003041572,0.0002153549,0.0028807232156395912,0.0031526670209132135,0.003770166,4.8598857e-05,0.003741918015293777,0.003801237908191979
41,92,77,2,5.314104231047791,62815,1,0,386411,59,10,1,1,2,0,0,0,0,3.839761e-07,3.591941e-06,9.983103753385958e-12,1.0907436287510563e-08,0.00017002871,3.25002e-05,0.00014343752263812348,0.0001921954462886788,0.00030115183,3.128179e-05,0.0002799515350488946,0.0003316078946227208,0.00041241184,0.0,0.0004124118422623724,0.0004124118422623724,0.000518846,0.0,0.0005188459763303399,0.0005188459763303399
42,172,731,2,0.27045655636145893,70966,1,0,392165,956,163,25,8,4,0,0,0,0,4.486495e-06,1.970599e-05,1.6564330351798162e-08,9.089333730116778e-07,0.0004179357,8.6192165e-05,0.00034546872484497726,0.0004864580259891227,0.00071340636,8.521414e-05,0.0006363715510815382,0.0007653899083379656,0.0010316028,7.562799e-05,0.0009797062957659364,0.0010696913814172149,0.0013022519,3.442706e-05,0.0012790313339792192,0.001321295538218692
43,172,342,2,1.4664273114894364,73672,1,1,393062,183,59,9,5,3,0,0,0,0,2.1850506e-06,1.3282414e-05,2.2154122425455114e-09,3.943565474173738e-07,0.00051257643,0.00010398032,0.00042027721065096557,0.0005868958542123437,0.00093187595,0.00010380771,0.0008409120491705835,0.0010169026209041476,0.0012839979,0.00011185305,0.001167693524621427,0.0013228787574917078,0.0016351532,0.00012904918,0.0015410156920552254,0.0017253427067771554
44,117,2,2,3.500139916087959,49519,1,1,392333,772,162,46,5,3,0,0,0,0,7.65619e-07,4.3206774e-06,6.498396265541828e-11,2.3842162022447155e-08,0.000104027284,2.092857e-05,8.545952186977956e-05,0.00011891097528859973,0.00017932494,2.0290428e-05,0.00016169419177458622,0.00019260540284449235,0.0002545408,1.8995031e-05,0.00023636208425159566,0.0002694765862543136,0.00032310226,1.3843989e-05,0.0003129772958345711,0.00032859863131307065
45,99,118,2,3.9677779744611836,60493,1,0,417343,157,48,16,6,3,0,0,0,0,7.186301e-07,5.41177e-06,7.096852272514553e-10,5.329767560624532e-08,0.00023753937,4.7262212e-05,0.00019921822240576148,0.00027305158437229693,0.00041420004,5.1833806e-05,0.0003688232245622203,0.00045907680032541975,0.0006085987,4.981846e-05,0.0005717801541322842,0.0006531021645059809,0.0008239376,2.3697832e-05,0.0008148053748300299,0.0008366843103431165
46,112,548,2,2.8549164192011727,81143,0,0,393081,131,52,42,8,7,0.0,0.0,0.0,0.0,3.1303775e-06,2.9178575e-05,5.878970532613437e-09,3.940978103855741e-07,0.0013441956,0.00029577196,0.0010943496017716825,0.0015920869773253798,0.0024285654,0.00030144816,0.0021745245321653783,0.0027023986913263798,0.0034165378,0.0002866392,0.0031522350036539137,0.003694118815474212,0.0044402825,0.0003037896,0.004166649770922959,0.004733546520583332
